name;description;datatype
code;"0000000000- Україна; 0100000000-Автономна Республіка Крим; 0500000000-Вінницька; 0700000000-Волинська; 1200000000-Дніпропетровська; 1400000000-Донецька; 1800000000-Житомирська; 2100000000-Закарпатська; 2300000000-Запорізька; 2600000000-Івано-Франківська; 3200000000-Київська; 3500000000-Кіровоградська; 4400000000-Луганська; 4600000000-Львівська; 4800000000-Миколаївська; 5100000000-Одеська; 5300000000-Полтавська; 5600000000-Рівненська; 5900000000-Сумська; 6100000000-Тернопільська; 6300000000-Харківська; 6500000000-Херсонська; 6800000000-Хмельницька; 7100000000-Черкаська; 7300000000-Чернівецька; 7400000000-Чернігівська; 8000000000-м.Київ; 8500000000-м.Севастополь";string
period;Дата у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06;date
units of measurement; осіб;
data1;Кількість прибулих;integer
data2;Кількість вибулих;
data3;Міграційний приріст, скорочення (-) населення;
note;2010-2013р.р.- з урахуванням тимчасово окупованої території Автономної Республіки Крим і м. Севастополя;
note;2014-2020р.р.- без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій Донецької та Луганської областей. Інформація сформована на основі наявних адміністративних даних щодо зміни реєстрації місця проживання.;
note;2010-2013р.р.- включаючи м. Інкерман, смт Кача і сільські ради, підпорядковані міській раді;
note;"1400000000-Донецька;4400000000-Луганська - починаючи з 2014 року інформація сформована без частини тимчасово окупованих територій";
note;NA-інформація відсутня;
note;К - інформація конфіденційна;
