рік;Щільність населення, осіб на 1 кв.км;регіон;зміна, осіб на 1 кв.км;зміна, %
1989;79.1;Автономна Республіка Крим;;
1990;80.6;Автономна Республіка Крим;1.5;1.9
1991;82.2;Автономна Республіка Крим;1.6;1.99
1992;83.7;Автономна Республіка Крим;1.5;1.82
1993;85.2;Автономна Республіка Крим;1.5;1.79
1994;85.7;Автономна Республіка Крим;0.5;0.59
1995;85.1;Автономна Республіка Крим;-0.6;-0.7
1996;84.3;Автономна Республіка Крим;-0.8;-0.94
1997;83.1;Автономна Республіка Крим;-1.2;-1.42
1998;81.9;Автономна Республіка Крим;-1.2;-1.44
1999;80.8;Автономна Республіка Крим;-1.1;-1.34
2000;79.7;Автономна Республіка Крим;-1.1;-1.36
2001;78.6;Автономна Республіка Крим;-1.1;-1.38
2002;77.9;Автономна Республіка Крим;-0.7;-0.89
2003;77.3;Автономна Республіка Крим;-0.6;-0.77
2004;76.8;Автономна Республіка Крим;-0.5;-0.65
2005;76.4;Автономна Республіка Крим;-0.4;-0.52
2006;76;Автономна Республіка Крим;-0.4;-0.52
2007;75.8;Автономна Республіка Крим;-0.2;-0.26
2008;75.5;Автономна Республіка Крим;-0.3;-0.4
2009;75.4;Автономна Республіка Крим;-0.1;-0.13
2010;75.3;Автономна Республіка Крим;-0.1;-0.13
2011;75.3;Автономна Республіка Крим;0;0
2012;75.3;Автономна Республіка Крим;0;0
2013;75.3;Автономна Республіка Крим;0;0
2014;75.4;Автономна Республіка Крим;0.1;0.13
2015;;Автономна Республіка Крим;;
2016;;Автономна Республіка Крим;;
2017;;Автономна Республіка Крим;;
2018;;Автономна Республіка Крим;;
2019;;Автономна Республіка Крим;;
2020;;Автономна Республіка Крим;;
2021;;Автономна Республіка Крим;;
1989;72.9;Вінницька область;;
1990;72.7;Вінницька область;-0.2;-0.27
1991;72.2;Вінницька область;-0.5;-0.69
1992;72;Вінницька область;-0.2;-0.28
1993;72.1;Вінницька область;0.1;0.14
1994;71.9;Вінницька область;-0.2;-0.28
1995;71.3;Вінницька область;-0.6;-0.83
1996;70.8;Вінницька область;-0.5;-0.7
1997;70.2;Вінницька область;-0.6;-0.85
