code;period;data1;data2;data3;
0000000000;2010;683449;667316;16133;
0100000000;2010;30256;26810;3446;
0500000000;2010;30682;31069;–387;
0700000000;2010;17718;17720;–2;
1200000000;2010;46437;46465;–28;
1400000000;2010;58195;59266;–1071;
1800000000;2010;23543;23835;–292;
2100000000;2010;8456;9288;–832;
2300000000;2010;23639;23453;186;
2600000000;2010;17170;16942;228;
3200000000;2010;27815;23261;4554;
3500000000;2010;17114;17788;–674;
4400000000;2010;32535;34929;–2394;
4600000000;2010;31857;32733;–876;
4800000000;2010;15354;15719;–365;
5100000000;2010;37958;32856;5102;
5300000000;2010;25189;25142;47;
5600000000;2010;19551;20726;–1175;
5900000000;2010;21385;22372;–987;
6100000000;2010;14217;15211;–994;
6300000000;2010;44096;42257;1839;
6500000000;2010;15063;16213;–1150;
6800000000;2010;23065;23668;–603;
7100000000;2010;21205;21681;–476;
7300000000;2010;10805;10170;635;
7400000000;2010;18286;18271;15;
8000000000;2010;46592;35981;10611;
8500000000;2010;5266;3490;1776;
0000000000;2011;669397;652301;17096;
0100000000;2011;27822;24183;3639;
0500000000;2011;31586;31118;468;
0700000000;2011;17253;16582;671;
1200000000;2011;46106;46321;–215;
1400000000;2011;51535;52046;–511;
1800000000;2011;22806;23352;–546;
2100000000;2011;8502;8965;–463;
2300000000;2011;23124;23936;–812;
2600000000;2011;16913;16391;522;
3200000000;2011;35030;26357;8673;
3500000000;2011;15590;17038;–1448;
4400000000;2011;30882;33541;–2659;
4600000000;2011;30172;31724;–1552;
4800000000;2011;14777;15424;–647;
5100000000;2011;36650;32560;4090;
5300000000;2011;23873;24212;–339;
5600000000;2011;18460;20259;–1799;
5900000000;2011;19935;20786;–851;
6100000000;2011;13817;14648;–831;
6300000000;2011;41790;40956;834;
6500000000;2011;14790;15917;–1127;
6800000000;2011;23401;24532;–1131;
7100000000;2011;21823;21529;294;
7300000000;2011;10682;9784;898;
7400000000;2011;17968;17623;345;
8000000000;2011;49057;39016;10041;
8500000000;2011;5053;3501;1552;
0000000000;2012;726226;664382;61844;
0100000000;2012;30785;26373;4412;
0500000000;2012;30787;31118;–331;
0700000000;2012;17074;17350;–276;
1200000000;2012;48580;46685;1895;
1400000000;2012;54874;54953;–79;
1800000000;2012;24620;23717;903;
2100000000;2012;8466;8987;–521;
2300000000;2012;24218;23119;1099;
2600000000;2012;17629;16269;1360;
3200000000;2012;37210;28521;8689;
3500000000;2012;16676;18433;–1757;
4400000000;2012;32172;33724;–1552;
4600000000;2012;32787;31576;1211;
4800000000;2012;15308;16288;–980;
5100000000;2012;42765;32638;10127;
5300000000;2012;23946;23732;214;
5600000000;2012;19585;20987;–1402;
5900000000;2012;20317;21492;–1175;
6100000000;2012;14523;14991;–468;
6300000000;2012;56305;41180;15125;
6500000000;2012;14001;15875;–1874;
6800000000;2012;23885;24611;–726;
7100000000;2012;21328;21874;–546;
7300000000;2012;11638;10010;1628;
7400000000;2012;17097;17818;–721;
8000000000;2012;63217;38499;24718;
8500000000;2012;6433;3562;2871;
0000000000;2013;675942;644029;31913;
0100000000;2013;30129;25073;5056;
0500000000;2013;28986;29746;–760;
0700000000;2013;16025;15714;311;
1200000000;2013;45896;46253;–357;
1400000000;2013;50938;54187;–3249;
1800000000;2013;21491;22024;–533;
2100000000;2013;6837;8070;–1233;
2300000000;2013;22435;23481;–1046;
2600000000;2013;17340;16390;950;
3200000000;2013;37345;27232;10113;
3500000000;2013;15816;17471;–1655;
4400000000;2013;30599;32386;–1787;
4600000000;2013;30516;30658;–142;
4800000000;2013;14863;15662;–799;
5100000000;2013;37144;31363;5781;
5300000000;2013;24979;24533;446;
5600000000;2013;18773;19679;–906;
5900000000;2013;18234;19718;–1484;
6100000000;2013;12996;14121;–1125;
6300000000;2013;49103;43515;5588;
6500000000;2013;13014;14931;–1917;
6800000000;2013;22096;23035;–939;
7100000000;2013;19889;20443;–554;
7300000000;2013;11969;10569;1400;
7400000000;2013;15305;16224;–919;
8000000000;2013;56610;38233;18377;
8500000000;2013;6614;3318;3296;
0000000000;2010;647927;637016;10911;
0100000000;2010;NA;NA;NA;
0500000000;2010;30682;31069;–387;
0700000000;2010;17718;17720;–2;
1200000000;2010;46437;46465;–28;
1400000000;2010;58195;59266;–1071;
1800000000;2010;23543;23835;–292;
2100000000;2010;8456;9288;–832;
2300000000;2010;23639;23453;186;
2600000000;2010;17170;16942;228;
3200000000;2010;27815;23261;4554;
3500000000;2010;17114;17788;–674;
4400000000;2010;32535;34929;–2394;
4600000000;2010;31857;32733;–876;
4800000000;2010;15354;15719;–365;
5100000000;2010;37958;32856;5102;
5300000000;2010;25189;25142;47;
5600000000;2010;19551;20726;–1175;
5900000000;2010;21385;22372;–987;
6100000000;2010;14217;15211;–994;
6300000000;2010;44096;42257;1839;
6500000000;2010;15063;16213;–1150;
6800000000;2010;23065;23668;–603;
7100000000;2010;21205;21681;–476;
7300000000;2010;10805;10170;635;
7400000000;2010;18286;18271;15;
8000000000;2010;46592;35981;10611;
8500000000;2010;NA;NA;NA;
0000000000;2011;636522;624617;11905;
0100000000;2011;NA;NA;NA;
0500000000;2011;31586;31118;468;
0700000000;2011;17253;16582;671;
1200000000;2011;46106;46321;–215;
1400000000;2011;51535;52046;–511;
1800000000;2011;22806;23352;–546;
2100000000;2011;8502;8965;–463;
2300000000;2011;23124;23936;–812;
2600000000;2011;16913;16391;522;
3200000000;2011;35030;26357;8673;
3500000000;2011;15590;17038;–1448;
4400000000;2011;30882;33541;–2659;
4600000000;2011;30172;31724;–1552;
4800000000;2011;14777;15424;–647;
5100000000;2011;36650;32560;4090;
5300000000;2011;23873;24212;–339;
5600000000;2011;18460;20259;–1799;
5900000000;2011;19935;20786;–851;
6100000000;2011;13817;14648;–831;
6300000000;2011;41790;40956;834;
6500000000;2011;14790;15917;–1127;
6800000000;2011;23401;24532;–1131;
7100000000;2011;21823;21529;294;
7300000000;2011;10682;9784;898;
7400000000;2011;17968;17623;345;
8000000000;2011;49057;39016;10041;
8500000000;2011;NA;NA;NA;
0000000000;2012;689008;634447;54561;
0100000000;2012;NA;NA;NA;
0500000000;2012;30787;31118;–331;
0700000000;2012;17074;17350;–276;
1200000000;2012;48580;46685;1895;
1400000000;2012;54874;54953;–79;
1800000000;2012;24620;23717;903;
2100000000;2012;8466;8987;–521;
2300000000;2012;24218;23119;1099;
2600000000;2012;17629;16269;1360;
