Total immigrants;Total emigrants;Migration increase;Country;Continent;code;iso_alpha
29;156;-127;Austria;europe;40;AUT
4;4;0;Albania;europe;8;ALB
1;0;1;Andorra;europe;20;AND
47;8;39;Belgium;europe;56;BEL
1098;446;652;Belarus;europe;112;BLR
50;37;13;Bulgaria;europe;100;BGR
8;4;4;Bosnia and Herzegovina;europe;70;BIH
1;0;1;Holy See;europe;336;VAT
45;26;19;Greece;europe;300;GRC
41;21;20;Denmark;europe;208;DNK
34;33;1;Estonia;europe;233;EST
19;10;9;Ireland;europe;372;IRL
3;0;3;Iceland;europe;352;ISL
104;83;21;Spain;europe;724;ESP
291;100;191;Italy;europe;380;ITA
77;77;0;Latvia;europe;428;LVA
131;442;-311;Lithuania;europe;440;LTU
0;0;0;Liechtenstein;europe;438;LIE
1;1;0;Luxembourg;europe;442;LUX
11;12;-1;North Macedonia;europe;807;MKD
6;2;4;Malta;europe;470;MLT
922;224;698;Moldova;europe;498;MDA
0;0;0;Monaco;europe;492;MCO
46;127;-81;Netherlands;europe;528;NLD
330;1279;-949;Germany;europe;276;DEU
25;7;18;Norway;europe;578;NOR
546;389;157;Poland;europe;616;POL
52;15;37;Portugal;europe;620;PRT
3691;1852;1839;Russian Federation;europe;643;RUS
115;64;51;Romania;europe;642;ROU
0;0;0;San Marino;europe;674;SMR
27;53;-26;Slovakia;europe;703;SVK
7;18;-11;Slovenia;europe;705;SVN
175;88;87;United Kingdom of Great Britain and Northern Ireland;europe;826;GBR
116;186;-70;Hungary;europe;348;HUN
11;7;4;Finland;europe;246;FIN
152;108;44;France;europe;250;FRA
38;62;-24;Croatia;europe;191;HRV
97;282;-185;Czechia;europe;203;CZE
33;22;11;Switzerland;europe;756;CHE
34;20;14;Sweden;europe;752;SWE
8;6;2;Argentina;america;32;ARG
0;0;0;Bahamas;america;44;BHS
0;0;0;Barbados;america;52;BRB
0;0;0;Belize;america;84;BLZ
1;1;0;Bolivia;america;68;BOL
26;31;-5;Brazil;america;76;BRA
7;3;4;Venezuela (Bolivarian Republic of);america;862;VEN
0;0;0;Haiti;america;332;HTI
20;0;20;Guyana;america;328;GUY
0;1;-1;Guatemala;america;320;GTM
1;0;1;Honduras;america;340;HND
0;0;0;Grenada;america;308;GRD
7;1;6;Dominican Republic;america;214;DOM
94;105;-11;Ecuador;america;218;ECU
93;83;10;Canada;america;124;CAN
10;9;1;Colombia;america;170;COL
2;1;1;Costa Rica;america;188;CRI
8;1;7;Cuba;america;192;CUB
14;6;8;Mexico;america;484;MEX
0;0;0;Nicaragua;america;558;NIC
2;0;2;Panama;america;591;PAN
0;3;-3;Paraguay;america;600;PRY
9;1;8;Peru;america;604;PER
4;1;3;El Salvador;america;222;SLV
689;1248;-559;USA;america;840;USA
0;1;-1;Trinidad and Tobago;america;780;TTO
0;0;0;Suriname;america;740;SUR
1;0;1;Uruguay;america;858;URY
4;0;4;Chile;america;152;CHL
6;6;0;Jamaica;america;388;JAM
1344;661;683;Azerbaijan;asia;31;AZE
