Year;Average population;Live births;Deaths;Natural change;Crude birth rate (per 1,000);Crude death rate (per 1,000);Natural change (per 1,000);Fertility rates;Urban fertility;Rural fertility;Abortions, reported
1946;;753493;;;;;;;;;
1947;;712994;;;;;;;;;
1948;;757783;;;;;;;;;
1949;;911641;;;;;;;;;
1950;36905000;844585;315300;529300;22.9;8.5;14.3;2.81;;;
1951;37569000;858052;327500;530600;22.8;8.7;14.1;2.76;;;
1952;38141000;846434;325700;520700;22.2;8.5;13.7;2.64;;;
1953;38678000;795652;326800;468900;20.6;8.4;12.1;2.41;;;
1954;39131000;845128;318500;526600;21.6;8.1;13.5;2.48;;;
1955;39506000;792696;296200;496500;20.1;7.5;12.6;2.7;;;
1956;40082000;822569;293000;529600;20.5;7.3;13.2;2.29;;;
1957;40800000;847781;304800;543000;20.8;7.5;13.3;2.29;;;
1958;41512000;873483;286700;586800;21;6.9;14.1;2.3;;;
1959;42155000;880552;316800;563800;20.9;7.5;13.4;2.29;;;
1960;42469000;878768;296171;582597;20.7;7;13.7;2.24;;;
1961;43097000;843482;304346;539136;19.6;7.1;12.5;2.17;;;
1962;43559000;823151;331454;491697;18.9;7.6;11.3;2.14;;;
1963;44088000;794969;323556;471413;17.9;7.3;10.6;2.06;;;
1964;44664000;741668;315340;426328;16.5;7;9.5;1.96;;;
1965;45133000;692153;342717;349436;15.3;7.6;7.7;1.99;;;
1966;45548000;713492;344850;368642;15.6;7.5;8.1;2.02;;;
1967;45997000;699381;368573;330808;15.1;8;7.2;2.01;;;
1968;46408000;693064;374440;318624;14.9;8;6.8;1.99;;;
1969;46778000;687991;404151;283840;14.7;8.6;6;2.04;;;
1970;47127000;719213;418679;300534;15.2;8.9;6.4;2.1;;;1130315
1971;47507000;736691;424717;311974;15.4;8.9;6.5;2.12;;;
1972;47903000;745696;443038;302658;15.5;9.2;6.3;2.08;;;
1973;48274000;719560;449351;270209;14.9;9.3;5.6;2.04;;;
1974;48571000;736616;455970;280646;15.1;9.4;5.8;2.04;;;
1975;48881000;738857;489550;249307;15.1;10;5.1;2.02;;;1110223
1976;49151000;747069;500584;246485;15.2;10.2;5;1.99;;;
1977;49388000;726217;517967;208250;14.7;10.5;4.2;1.94;;;
1978;49578000;732187;529681;202506;14.7;10.7;4.1;1.96;;;
1979;49755000;735188;552019;183169;14.7;11.1;3.7;1.96;;;
1980;50044000;742489;568243;174246;14.8;11.4;3.5;1.95;;;1197000
1981;50222000;733183;568789;164394;14.6;11.3;3.3;1.93;;;1112734
1982;50388000;745591;568231;177360;14.8;11.3;3.5;1.94;;;1131437
1983;50573000;807111;583496;223615;16;11.6;4.4;2.11;;;1125686
1984;50768000;792035;610338;181697;15.6;12;3.6;2.08;;;1127627
1985;50941000;762775;617548;145227;15;12.1;2.9;2.02;;;1179000
1986;51143000;792574;565150;227424;15.5;11.1;4.4;2.13;;;1166039
1987;51373000;760851;586387;174464;14.8;11.4;3.4;2.07;;;1168136
1988;51593000;744056;600725;143331;14.4;11.6;2.8;2.04;;;1080029
1989;51770000;690981;600590;90391;13.3;11.6;1.7;1.92;1.78;2.33;1058414
1990;51838500;657202;629602;27600;12.7;12.1;0.6;1.84;1.69;2.27;1019038
1991;51944400;630813;669960;-39147;12.1;12.9;-0.8;1.78;1.6;2.29;957022
1992;52056600;596785;697110;-100325;11.4;13.4;-2;1.67;1.48;2.23;932272
1993;52244100;557467;741662;-184195;10.7;14.2;-3.5;1.56;1.37;2.08;860996
