регіон;рік;об'єм;вид
Україна;2010;8.3;сільське господарство
Вінницька;2010;21.6;сільське господарство
Волинська;2010;16.9;сільське господарство
Дніпропетровська;2010;4.7;сільське господарство
Донецька;2010;3.8;сільське господарство
Житомирська;2010;16.3;сільське господарство
Закарпатська;2010;13.4;сільське господарство
Запорізьк;2010;9;сільське господарство
Івано-Франківська;2010;12.7;сільське господарство
Київська;2010;13.5;сільське господарство
Кіровоградська;2010;19.8;сільське господарство
Луганська;2010;5;сільське господарство
Львівська;2010;9.6;сільське господарство
Миколаївська;2010;15.9;сільське господарство
Одеська;2010;7.7;сільське господарство
Полтавська;2010;12.9;сільське господарство
Рівненська;2010;15.9;сільське господарство
Сумська;2010;13.5;сільське господарство
Тернопільська;2010;19.4;сільське господарство
Харківська;2010;6.4;сільське господарство
Херсонська;2010;23.7;сільське господарство
Хмельницька;2010;18.4;сільське господарство
Черкаська;2010;19.6;сільське господарство
Чернівецька;2010;18.7;сільське господарство
Чернігівська;2010;18.3;сільське господарство
м.Київ;2010;0;сільське господарство
Україна;2010;25.9;промисловість
Вінницька;2010;19.3;промисловість
Волинська;2010;15.6;промисловість
Дніпропетровська;2010;47.7;промисловість
Донецька;2010;45.8;промисловість
Житомирська;2010;21.5;промисловість
Закарпатська;2010;19;промисловість
Запорізьк;2010;38.6;промисловість
Івано-Франківська;2010;24.1;промисловість
Київська;2010;18.2;промисловість
Кіровоградська;2010;22.8;промисловість
Луганська;2010;51;промисловість
Львівська;2010;17.4;промисловість
Миколаївська;2010;22.8;промисловість
Одеська;2010;14.8;промисловість
Полтавська;2010;42.4;промисловість
Рівненська;2010;26.5;промисловість
Сумська;2010;31.8;промисловість
Тернопільська;2010;14.4;промисловість
Харківська;2010;21.4;промисловість
Херсонська;2010;16.5;промисловість
Хмельницька;2010;19.4;промисловість
Черкаська;2010;25.9;промисловість
Чернівецька;2010;11.9;промисловість
Чернігівська;2010;21.6;промисловість
м.Київ;2010;6.2;промисловість
Україна;2010;3.3;будівництво
Вінницька;2010;4.1;будівництво
Волинська;2010;3.2;будівництво
Дніпропетровська;2010;1.8;будівництво
Донецька;2010;3.3;будівництво
Житомирська;2010;2.9;будівництво
Закарпатська;2010;3.8;будівництво
Запорізьк;2010;2;будівництво
Івано-Франківська;2010;4.3;будівництво
Київська;2010;5;будівництво
Кіровоградська;2010;2.3;будівництво
Луганська;2010;1.7;будівництво
Львівська;2010;4;будівництво
Миколаївська;2010;3.3;будівництво
Одеська;2010;3.1;будівництво
Полтавська;2010;2.7;будівництво
Рівненська;2010;4.4;будівництво
Сумська;2010;2.1;будівництво
Тернопільська;2010;3.9;будівництво
Харківська;2010;3.9;будівництво
Херсонська;2010;2.3;будівництво
Хмельницька;2010;3.5;будівництво
Черкаська;2010;2.7;будівництво
Чернівецька;2010;5.3;будівництво
Чернігівська;2010;2;будівництво
м.Київ;2010;3.6;будівництво
Україна;2010;57.3;послуги
Вінницька;2010;47.4;послуги
Волинська;2010;57.7;послуги
Дніпропетровська;2010;43.1;послуги
Донецька;2010;44.4;послуги
Житомирська;2010;50;послуги
Закарпатська;2010;56.6;послуги
Запорізьк;2010;45.7;послуги
Івано-Франківська;2010;52.7;послуги
Київська;2010;56;послуги
Кіровоградська;2010;47.5;послуги
Луганська;2010;37.3;послуги
Львівська;2010;61.4;послуги
Миколаївська;2010;52.2;послуги
Одеська;2010;68.5;послуги
Полтавська;2010;38.1;послуги
Рівненська;2010;46.8;послуги
Сумська;2010;45.4;послуги
Тернопільська;2010;54.4;послуги
Харківська;2010;63.7;послуги
Херсонська;2010;50.4;послуги
Хмельницька;2010;50.2;послуги
Черкаська;2010;45.4;послуги
Чернівецька;2010;54.4;послуги
Чернігівська;2010;48.5;послуги
м.Київ;2010;86.2;послуги
Україна;2010;5.2;державне управління
Вінницька;2010;7.6;державне управління
Волинська;2010;6.6;державне управління
Дніпропетровська;2010;2.7;державне управління
Донецька;2010;2.7;державне управління
Житомирська;2010;9.3;державне управління
Закарпатська;2010;7.2;державне управління
Запорізьк;2010;4.7;державне управління
Івано-Франківська;2010;6.2;державне управління
Київська;2010;7.3;державне управління
Кіровоградська;2010;7.6;державне управління
Луганська;2010;5;державне управління
Львівська;2010;7.6;державне управління
Миколаївська;2010;5.8;державне управління
Одеська;2010;5.9;державне управління
Полтавська;2010;3.9;державне управління
Рівненська;2010;6.4;державне управління
Сумська;2010;7.2;державне управління
Тернопільська;2010;7.9;державне управління
Харківська;2010;4.6;державне управління
Херсонська;2010;7.1;державне управління
Хмельницька;2010;8.5;державне управління
Черкаська;2010;6.4;державне управління
Чернівецька;2010;9.7;державне управління
Чернігівська;2010;9.6;державне управління
м.Київ;2010;4;державне управління
Україна;2017;12.1;сільське господарство
Вінницька;2017;28.1;сільське господарство
Волинська;2017;17.2;сільське господарство
Дніпропетровська;2017;7.3;сільське господарство
Донецька;2017;7.2;сільське господарство
Житомирська;2017;23.5;сільське господарство
Закарпатська;2017;15.2;сільське господарство
Запорізьк;2017;12;сільське господарство
Івано-Франківська;2017;14.4;сільське господарство
Київська;2017;14.3;сільське господарство
Кіровоградська;2017;31.3;сільське господарство
Луганська;2017;21.3;сільське господарство
Львівська;2017;9.6;сільське господарство
Миколаївська;2017;21.9;сільське господарство
Одеська;2017;11.5;сільське господарство
Полтавська;2017;14.3;сільське господарство
Рівненська;2017;19.9;сільське господарство
Сумська;2017;26.1;сільське господарство
Тернопільська;2017;28.1;сільське господарство
Харківська;2017;11.1;сільське господарство
Херсонська;2017;33;сільське господарство
Хмельницька;2017;31.1;сільське господарство
Черкаська;2017;21.8;сільське господарство
Чернівецька;2017;22.3;сільське господарство
Чернігівська;2017;28.2;сільське господарство
м.Київ;2017;0;сільське господарство
Україна;2017;25.2;промисловість
Вінницька;2017;21.4;промисловість
Волинська;2017;15.4;промисловість
Дніпропетровська;2017;48.2;промисловість
Донецька;2017;49.9;промисловість
Житомирська;2017;19;промисловість
Закарпатська;2017;15.1;промисловість
Запорізьк;2017;42.4;промисловість
Івано-Франківська;2017;28;промисловість
Київська;2017;21.5;промисловість
Кіровоградська;2017;19.1;промисловість
Луганська;2017;23.1;промисловість
Львівська;2017;22.9;промисловість
Миколаївська;2017;21.1;промисловість
Одеська;2017;12.5;промисловість
Полтавська;2017;54.1;промисловість
Рівненська;2017;24.5;промисловість
Сумська;2017;22.5;промисловість
Тернопільська;2017;14.2;промисловість
Харківська;2017;31;промисловість
Херсонська;2017;15.1;промисловість
Хмельницька;2017;17.5;промисловість
Черкаська;2017;25.2;промисловість
Чернівецька;2017;10.7;промисловість
Чернігівська;2017;20.5;промисловість
м.Київ;2017;10.1;промисловість
Україна;2017;2.5;будівництво
Вінницька;2017;2;будівництво
Волинська;2017;2.1;будівництво
Дніпропетровська;2017;1.8;будівництво
Донецька;2017;1.7;будівництво
Житомирська;2017;1.5;будівництво
Закарпатська;2017;3.1;будівництво
Запорізьк;2017;1.2;будівництво
Івано-Франківська;2017;4.5;будівництво
Київська;2017;4.2;будівництво
Кіровоградська;2017;1.2;будівництво
Луганська;2017;1;будівництво
Львівська;2017;2.7;будівництво
Миколаївська;2017;1.6;будівництво
Одеська;2017;4.6;будівництво
Полтавська;2017;1.4;будівництво
Рівненська;2017;2.4;будівництво
Сумська;2017;1.1;будівництво
Тернопільська;2017;1.7;будівництво
Харківська;2017;2.6;будівництво
Херсонська;2017;1.2;будівництво
Хмельницька;2017;1.9;будівництво
Черкаська;2017;1.3;будівництво
Чернівецька;2017;3.1;будівництво
Чернігівська;2017;1.1;будівництво
м.Київ;2017;3.5;будівництво
Україна;2017;53.7;послуги
Вінницька;2017;39.8;послуги
Волинська;2017;57.7;послуги
Дніпропетровська;2017;38.4;послуги
Донецька;2017;35;послуги
Житомирська;2017;43.8;послуги
Закарпатська;2017;57.4;послуги
Запорізьк;2017;38.7;послуги
Івано-Франківська;2017;46.7;послуги
Київська;2017;48.7;послуги
Кіровоградська;2017;39.5;послуги
Луганська;2017;39.1;послуги
Львівська;2017;57.1;послуги
Миколаївська;2017;45.4;послуги
Одеська;2017;63.8;послуги
Полтавська;2017;26.1;послуги
Рівненська;2017;44.8;послуги
Сумська;2017;39.9;послуги
Тернопільська;2017;48.6;послуги
Харківська;2017;49.3;послуги
Херсонська;2017;42.3;послуги
Хмельницька;2017;40.6;послуги
Черкаська;2017;45.6;послуги
Чернівецька;2017;54.8;послуги
Чернігівська;2017;39.6;послуги
м.Київ;2017;82.8;послуги
Україна;2017;6.5;державне управління
Вінницька;2017;8.7;державне управління
Волинська;2017;7.6;державне управління
Дніпропетровська;2017;4.3;державне управління
Донецька;2017;6.2;державне управління
Житомирська;2017;12.2;державне управління
Закарпатська;2017;9.2;державне управління
Запорізьк;2017;5.7;державне управління
Івано-Франківська;2017;6.4;державне управління
Київська;2017;11.3;державне управління
Кіровоградська;2017;8.9;державне управління
Луганська;2017;15.5;державне управління
Львівська;2017;7.7;державне управління
Миколаївська;2017;10;державне управління
Одеська;2017;7.6;державне управління
Полтавська;2017;4.1;державне управління
Рівненська;2017;8.4;державне управління
Сумська;2017;10.4;державне управління
Тернопільська;2017;7.4;державне управління
Харківська;2017;6;державне управління
Херсонська;2017;8.4;державне управління
Хмельницька;2017;8.9;державне управління
Черкаська;2017;6.1;державне управління
Чернівецька;2017;9.1;державне управління
Чернігівська;2017;10.6;державне управління
м.Київ;2017;3.6;державне управління
